Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	15	51.724137931034484	0.005568348669456407	ENSMUSG00000054320, ENSMUSG00000024552, ENSMUSG00000063234, ENSMUSG00000021098, ENSMUSG00000004415, ENSMUSG00000031070, ENSMUSG00000022123, ENSMUSG00000043621, ENSMUSG00000084989, ENSMUSG00000090173, ENSMUSG00000020415, ENSMUSG00000022805, ENSMUSG00000042064, ENSMUSG00000090326, ENSMUSG00000054966	26	6706	22511	1.936641125054486	0.505185643542901	0.7016119323515073	70.16119323515073
GOTERM_CC_DIRECT	GO:0042995~cell projection	5	17.24137931034483	0.026402967389546374	ENSMUSG00000022805, ENSMUSG00000053111, ENSMUSG00000042064, ENSMUSG00000043621, ENSMUSG00000015533	22	1174	21179	4.100007743534149	0.7992042606928514	1.0	100.0
KEGG_PATHWAY	mmu04151:PI3K-Akt signaling pathway	3	10.344827586206897	0.029218942697433338	ENSMUSG00000067714, ENSMUSG00000024421, ENSMUSG00000015533	8	359	8992	9.392757660167131	0.5640906185204559	0.4914867232510764	49.14867232510764
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	9	31.03448275862069	0.04186710420855519	ENSMUSG00000032494, ENSMUSG00000024552, ENSMUSG00000067714, ENSMUSG00000031170, ENSMUSG00000024421, ENSMUSG00000063234, ENSMUSG00000004415, ENSMUSG00000031070, ENSMUSG00000015533	26	3706	22511	2.1026090746813897	0.9954328566291465	1.0	100.0
GOTERM_BP_DIRECT	GO:0007165~signal transduction	5	17.24137931034483	0.05855013651416927	ENSMUSG00000067714, ENSMUSG00000090326, ENSMUSG00000063234, ENSMUSG00000031070, ENSMUSG00000044921	23	1368	20094	3.1931731502669716	0.9999579145606314	1.0	100.0
KEGG_PATHWAY	mmu05200:Pathways in cancer	3	10.344827586206897	0.06242849791386126	ENSMUSG00000067714, ENSMUSG00000024421, ENSMUSG00000015533	8	543	8992	6.209944751381215	0.8355161918486796	0.4914867232510764	49.14867232510764
UP_KW_PTM	KW-0325~Glycoprotein	9	31.03448275862069	0.06273677943822017	ENSMUSG00000032494, ENSMUSG00000024552, ENSMUSG00000067714, ENSMUSG00000031170, ENSMUSG00000024421, ENSMUSG00000063234, ENSMUSG00000004415, ENSMUSG00000031070, ENSMUSG00000015533	16	4008	12816	1.7986526946107786	0.36462367917189265	0.5018942355057614	50.18942355057614
KEGG_PATHWAY	mmu04512:ECM-receptor interaction	2	6.896551724137931	0.06654810270989331	ENSMUSG00000024421, ENSMUSG00000015533	8	88	8992	25.545454545454547	0.8545966550275862	0.4914867232510764	49.14867232510764
KEGG_PATHWAY	mmu05222:Small cell lung cancer	2	6.896551724137931	0.07021238903586806	ENSMUSG00000024421, ENSMUSG00000015533	8	93	8992	24.172043010752688	0.869759773582693	0.4914867232510764	49.14867232510764
UP_SEQ_FEATURE	MOTIF:Cell attachment site	2	6.896551724137931	0.08213605738417679	ENSMUSG00000024421, ENSMUSG00000015533	26	77	22511	22.48851148851149	0.9999795794714273	1.0	100.0
